2015-09-01T02:00:00.000, 05:00-11:59, Heavy Traffic, Other, 12:00-19:00
2015-09-02T02:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Other, Heavy Traffic, Won`t Start
2015-09-03T02:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Won`t Start, Other
2015-09-04T02:00:00.000, 05:00-11:59, Heavy Traffic, Other, Won`t Start, 12:00-19:00, Other, Heavy Traffic
2015-09-08T02:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Delayed by School, Other, Mechanical Problem
2015-09-09T02:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Delayed by School, Heavy Traffic, Mechanical Problem
2015-09-10T02:00:00.000, 05:00-11:59, Heavy Traffic, Weather Conditions, Other, 12:00-19:00, Heavy Traffic, Mechanical Problem, Other
2015-09-11T02:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Mechanical Problem, Other
2015-09-14T02:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Mechanical Problem, Other, Heavy Traffic
2015-09-15T02:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Mechanical Problem
2015-09-16T02:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Other, Mechanical Problem
2015-09-17T02:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Other, Mechanical Problem
2015-09-18T02:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Other, Mechanical Problem
2015-09-21T02:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Other, Mechanical Problem, Heavy Traffic
2015-09-22T02:00:00.000, 05:00-11:59, Heavy Traffic, Other, Problem Run, 12:00-19:00, Other, Mechanical Problem, Heavy Traffic
2015-09-23T02:00:00.000, 05:00-11:59, Heavy Traffic, Other, Problem Run, 12:00-19:00, Other
2015-09-24T02:00:00.000, 05:00-11:59, Heavy Traffic, Mechanical Problem, Other, 12:00-19:00, Other, Mechanical Problem, Won`t Start
2015-09-25T02:00:00.000, 05:00-11:59, Heavy Traffic, Other, Problem Run, 12:00-19:00, Heavy Traffic, Other, Mechanical Problem
2015-09-28T02:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Mechanical Problem, Other
2015-09-29T02:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Mechanical Problem, Other
2015-09-30T02:00:00.000, 05:00-11:59, Heavy Traffic, Other, Weather Conditions, 12:00-19:00, Other, Mechanical Problem, Won`t Start
2015-10-01T02:00:00.000, 05:00-11:59, Heavy Traffic, Other, Problem Run, 12:00-19:00, Heavy Traffic, Other, Won`t Start
2015-10-02T02:00:00.000, 05:00-11:59, Heavy Traffic, Weather Conditions, Other, 12:00-19:00, Heavy Traffic, Weather Conditions, Other
2015-10-05T02:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Other, Heavy Traffic, Mechanical Problem
2015-10-06T02:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Mechanical Problem, Other, Heavy Traffic
2015-10-07T02:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Other, Mechanical Problem
