2015-09-01T02:00:00.000,Careful Bus,0.6,Thomas Buses Inc.,0.5,G.V.C. LTD,0.4,Leesel Transportation Corp.,0.3,Lorinda Ent. Ltd.,0.3
2015-09-02T02:00:00.000,Mar-Can Transportation,2.1,Boro Transit Inc.,2.0,New Dawn Transit LLC,1.9999999999999998,Logan Bus Company Inc.,1.8,Van Trans LLC,0.6
2015-09-03T02:00:00.000,Mar-Can Transportation,1.2,Reliant Transportation Inc.,0.8,Boro Transit Inc.,0.7,Logan Bus Company Inc.,0.6,B & F Skilled Inc.,0.3
2015-09-04T02:00:00.000,Reliant Transportation Inc.,1.0,Mar-Can Transportation,0.8999999999999999,Logan Bus Company Inc.,0.3,Empire Charter Service Inc.,0.2,Lorinda Ent. Ltd.,0.2
2015-09-08T02:00:00.000,Reliant Transportation Inc.,8.9,G.V.C. LTD,5.2,Leesel Transportation Corp.,4.5,Boro Transit Inc.,4.4,Mar-Can Transportation,2.4
2015-09-09T02:00:00.000,Pioneer Transportation,24.799999999999997,Leesel Transportation Corp.,19.599999999999998,G.V.C. LTD,19.4,Reliant Transportation Inc.,15.7,Boro Transit Inc.,14.100000000000001
2015-09-10T02:00:00.000,Leesel Transportation Corp.,18.2,Reliant Transportation Inc.,15.0,G.V.C. LTD,12.3,Pioneer Transportation,11.6,Boro Transit Inc.,11.2
2015-09-11T02:00:00.000,Leesel Transportation Corp.,17.1,Pioneer Transportation,14.2,G.V.C. LTD,9.4,IC Bus Inc.,7.7,Reliant Transportation Inc.,7.7
2015-09-14T02:00:00.000,G.V.C. LTD,3.3000000000000003,Pioneer Transportation,0.8,Jofaz Transportation Inc.,0.6,New Dawn Transit LLC,0.3,Mar-Can Transportation,0.3
2015-09-15T02:00:00.000,G.V.C. LTD,5.3,Mar-Can Transportation,0.8999999999999999,B & F Skilled Inc.,0.6,Jofaz Transportation Inc.,0.3,Empire Charter Service Inc.,0.2
2015-09-16T02:00:00.000,Leesel Transportation Corp.,23.0,G.V.C. LTD,16.2,IC Bus Inc.,15.7,Pioneer Transportation,13.899999999999999,Boro Transit Inc.,9.700000000000001
2015-09-17T02:00:00.000,G.V.C. LTD,19.2,Leesel Transportation Corp.,17.9,Pioneer Transportation,13.6,Boro Transit Inc.,8.899999999999999,New Dawn Transit LLC,8.1
2015-09-18T02:00:00.000,G.V.C. LTD,20.7,Leesel Transportation Corp.,10.399999999999999,Pioneer Transportation,10.0,Boro Transit Inc.,9.3,L & M Bus Corp.,7.6
2015-09-21T02:00:00.000,G.V.C. LTD,18.4,Pioneer Transportation,13.9,Boro Transit Inc.,10.4,Reliant Transportation Inc.,7.2,New Dawn Transit LLC,6.5
2015-09-22T02:00:00.000,G.V.C. LTD,17.599999999999998,Boro Transit Inc.,6.8,Pioneer Transportation,6.4,New Dawn Transit LLC,6.1,L & M Bus Corp.,5.1
2015-09-23T02:00:00.000,G.V.C. LTD,2.1,Jofaz Transportation Inc.,1.2,Van Trans LLC,0.3,Don Thomas Buses Inc.,0.2,Consolidated Bus Trans. Inc.,0.2
2015-09-24T02:00:00.000,Mar-Can Transportation,2.1999999999999997,G.V.C. LTD,1.7,Jofaz Transportation Inc.,1.0,Boro Transit Inc.,1.0,Van Trans LLC,0.6
2015-09-25T02:00:00.000,Reliant Transportation Inc.,11.2,G.V.C. LTD,10.9,IC Bus Inc.,9.6,New Dawn Transit LLC,8.8,Pioneer Transportation,6.5
2015-09-28T02:00:00.000,G.V.C. LTD,9.6,Reliant Transportation Inc.,7.799999999999999,Pioneer Transportation,7.3,Boro Transit Inc.,7.1,Leesel Transportation Corp.,6.0
2015-09-29T02:00:00.000,G.V.C. LTD,14.2,Pioneer Transportation,9.299999999999999,Mar-Can Transportation,8.5,New Dawn Transit LLC,8.5,Reliant Transportation Inc.,8.1
2015-09-30T02:00:00.000,G.V.C. LTD,14.2,Reliant Transportation Inc.,11.700000000000001,Pioneer Transportation,10.2,Mar-Can Transportation,7.0,Leesel Transportation Corp.,5.3
2015-10-01T02:00:00.000,G.V.C. LTD,13.0,Pioneer Transportation,9.6,New Dawn Transit LLC,8.7,Reliant Transportation Inc.,5.4,Boro Transit Inc.,3.8000000000000003
