2015-08-27T02:00:00.000,Mar-Can Transportation,2.1,Boro Transit Inc.,2.0,New Dawn Transit LLC,1.9999999999999998,Logan Bus Company Inc.,1.8,Careful Bus,1.0
2015-09-03T02:00:00.000,Pioneer Transportation,26.9,Reliant Transportation Inc.,26.4,G.V.C. LTD,24.6,Leesel Transportation Corp.,24.4,Boro Transit Inc.,19.200000000000003
2015-09-10T02:00:00.000,Leesel Transportation Corp.,58.3,G.V.C. LTD,46.5,Pioneer Transportation,40.5,Reliant Transportation Inc.,31.299999999999997,IC Bus Inc.,27.6
2015-09-17T02:00:00.000,G.V.C. LTD,78.0,Pioneer Transportation,43.9,Boro Transit Inc.,35.6,Leesel Transportation Corp.,33.3,New Dawn Transit LLC,26.7
2015-09-24T02:00:00.000,G.V.C. LTD,50.599999999999994,Reliant Transportation Inc.,39.4,Pioneer Transportation,33.3,New Dawn Transit LLC,26.1,Mar-Can Transportation,23.7
2015-10-01T02:00:00.000,G.V.C. LTD,78.3,Pioneer Transportation,55.99999999999999,New Dawn Transit LLC,37.0,L & M Bus Corp.,28.5,IC Bus Inc.,23.4
2015-10-08T02:00:00.000,G.V.C. LTD,64.3,New Dawn Transit LLC,38.0,Pioneer Transportation,33.199999999999996,Mar-Can Transportation,33.0,L & M Bus Corp.,26.9
2015-10-15T02:00:00.000,G.V.C. LTD,81.1,Leesel Transportation Corp.,50.199999999999996,New Dawn Transit LLC,39.8,Reliant Transportation Inc.,33.699999999999996,L & M Bus Corp.,33.5
2015-10-22T02:00:00.000,G.V.C. LTD,86.3,Leesel Transportation Corp.,80.5,Pioneer Transportation,49.3,Boro Transit Inc.,36.5,New Dawn Transit LLC,36.2
2015-10-29T01:00:00.000,Leesel Transportation Corp.,59.4,G.V.C. LTD,46.6,Pioneer Transportation,28.599999999999998,New Dawn Transit LLC,24.9,Boro Transit Inc.,19.0
2015-11-05T01:00:00.000,Leesel Transportation Corp.,65.2,G.V.C. LTD,31.5,Pioneer Transportation,28.5,New Dawn Transit LLC,23.3,Boro Transit Inc.,17.2
2015-11-12T01:00:00.000,Leesel Transportation Corp.,68.8,G.V.C. LTD,51.5,New Dawn Transit LLC,34.5,Reliant Transportation Inc.,33.7,Boro Transit Inc.,32.3
2015-11-19T01:00:00.000,G.V.C. LTD,64.1,Leesel Transportation Corp.,60.0,New Dawn Transit LLC,49.1,Reliant Transportation Inc.,26.599999999999998,Pioneer Transportation,26.5
2015-11-26T01:00:00.000,Leesel Transportation Corp.,41.800000000000004,G.V.C. LTD,41.7,Pioneer Transportation,31.8,Boro Transit Inc.,22.2,Reliant Transportation Inc.,20.5
2015-12-03T01:00:00.000,G.V.C. LTD,70.3,Leesel Transportation Corp.,65.2,Reliant Transportation Inc.,31.099999999999998,New Dawn Transit LLC,29.8,Pioneer Transportation,28.3
2015-12-10T01:00:00.000,G.V.C. LTD,66.4,Leesel Transportation Corp.,43.0,New Dawn Transit LLC,41.5,Pioneer Transportation,34.5,L & M Bus Corp.,24.7
